Date,AAPL,AMD,AMZN,CVS,EBAY,FCEL,GOOGL,IYW,MAR,MSFT,NEE,NFLX,NVDA,SCWO,TSLA,XOM
2010-01-04,6.418383598327637,9.699999809265137,6.695000171661377,22.51266860961914,8.952066421508789,17366.400390625,15.566815376281738,12.992164611816406,22.04139518737793,23.130056381225586,8.347387313842773,0.7639999985694885,0.423806756734848,0.5099999904632568,,37.88178634643555
2010-01-05,6.42948055267334,9.710000038146973,6.734499931335449,22.423919677734375,8.858423233032227,16977.599609375,15.498265266418457,12.972175598144531,22.169036865234375,23.137527465820312,8.265872955322266,0.7358570098876953,0.4299953579902649,0.5099999904632568,,38.02969741821289
2010-01-06,6.327210903167725,9.569999694824219,6.612500190734863,22.225963592529297,8.802240371704102,16804.80078125,15.107572555541992,12.881104469299316,22.23285675048828,22.99553680419922,8.347387313842773,0.761713981628418,0.4327458143234253,0.800000011920929,,38.35840606689453
2010-01-07,6.315515518188477,9.470000267028809,6.5,23.045106887817383,8.70111083984375,16459.19921875,14.755875587463379,12.832228660583496,22.32061004638672,22.756389617919922,8.323873519897461,0.74857097864151,0.42426517605781555,0.800000011920929,,38.237884521484375
2010-01-08,6.3575005531311035,9.430000305175781,6.676000118255615,23.208934783935547,8.805987358093262,16718.400390625,14.952588081359863,12.929973602294922,22.368478775024414,22.913326263427734,8.251763343811035,0.7614290118217468,0.42518195509910583,0.800000011920929,,38.0844841003418
2010-01-11,6.301417350769043,9.140000343322754,6.515500068664551,23.161149978637695,8.783512115478516,16675.19921875,14.929986000061035,12.867776870727539,22.32061004638672,22.621870040893555,8.245494842529297,0.7604290246963501,0.4192225933074951,0.800000011920929,,38.51179504394531
2010-01-12,6.229740619659424,8.649999618530273,6.367499828338623,22.908580780029297,8.686129570007324,15595.2001953125,14.665966033935547,12.712285995483398,22.129159927368164,22.472394943237305,8.044843673706055,0.7481430172920227,0.40501150488853455,0.800000011920929,,38.32004928588867
2010-01-13,6.317613124847412,9.149999618530273,6.45550012588501,23.188447952270508,8.839701652526855,15940.7998046875,14.581766128540039,12.830012321472168,22.440269470214844,22.681652069091797,8.073060035705566,0.7708569765090942,0.4105125963687897,0.550000011920929,,38.16667175292969
2010-01-14,6.28102445602417,9.0,6.367499828338623,23.174800872802734,8.570011138916016,15595.2001953125,14.650318145751953,12.927752494812012,23.68474006652832,23.137527465820312,7.839489459991455,0.7284290194511414,0.4040946960449219,0.7400000095367432,,38.172142028808594
2010-01-15,6.176054000854492,8.84000015258789,6.35699987411499,23.147491455078125,8.416440963745117,15120.0,14.405669212341309,12.75226879119873,23.373619079589844,23.062795639038086,7.924134254455566,0.7278569936752319,0.39217591285705566,0.7400000095367432,,37.85989761352539
2010-01-19,6.44927453994751,9.010000228881836,6.380499839782715,23.174800872802734,8.712347984313965,15422.400390625,14.594929695129395,12.94551944732666,23.533170700073242,23.24215316772461,7.977436542510986,0.7314289808273315,0.3995106518268585,0.7400000095367432,,37.947540283203125
2010-01-20,6.350004196166992,8.869999885559082,6.289000034332275,23.166587829589844,8.326549530029297,14688.0,14.415851593017578,12.756712913513184,22.966777801513672,22.861013412475586,7.834786415100098,0.7319999933242798,0.397906094789505,0.7400000095367432,,37.26823425292969
2010-01-21,6.240235328674316,8.989999771118164,6.330999851226807,22.74911880493164,9.038216590881348,14256.0,14.479683876037598,12.630099296569824,22.440269470214844,22.427553176879883,7.68586540222168,0.7312859892845154,0.3908006548881531,0.550000011920929,,36.53963088989258
2010-01-22,5.93073034286499,7.880000114440918,6.071499824523926,22.74911880493164,8.832205772399902,13435.2001953125,13.660798072814941,12.139201164245605,21.897808074951172,21.642854690551758,7.546351432800293,0.7269999980926514,0.37727734446525574,0.6499999761581421,,36.21095275878906
2010-01-25,6.090281009674072,8.069999694824219,6.015500068664551,22.612232208251953,8.873408317565918,13046.400390625,13.412174224853516,12.232490539550781,21.945680618286133,21.91190528869629,7.48521614074707,0.7018569707870483,0.38369521498680115,0.550000011920929,,36.07398986816406
2010-01-26,6.176352500915527,8.09000015258789,5.973999977111816,22.4548282623291,9.015739440917969,12916.7998046875,13.472281455993652,12.216944694519043,21.650516510009766,22.046417236328125,7.715649127960205,0.7135710120201111,0.37154725193977356,0.550000011920929,,36.112327575683594
2010-01-27,6.2345380783081055,8.1899995803833,6.137499809265137,22.22212791442871,8.978287696838379,12916.7998046875,13.46433162689209,12.29246711730957,21.44310188293457,22.173460006713867,7.8003010749816895,0.7281429767608643,0.3816322386264801,0.6499999761581421,,35.904178619384766
2010-01-28,5.97691535949707,7.880000114440918,6.301499843597412,22.12631607055664,8.738567352294922,12528.0,13.27035140991211,11.95039176940918,21.275577545166016,21.79232406616211,7.682729721069336,0.9005709886550903,0.3687966465950012,0.6499999761581421,,35.586429595947266
2010-01-29,5.760080814361572,7.460000038146973,6.270500183105469,22.15369415283203,8.622450828552246,12182.400390625,13.162311553955078,11.659408569335938,20.92457389831543,21.059934616088867,7.643543243408203,0.8892859816551208,0.3527519404888153,0.6499999761581421,,35.296077728271484
2010-02-01,5.840156555175781,7.980000019073486,5.94350004196167,22.530101776123047,8.678637504577637,12441.599609375,13.238809585571289,11.843775749206543,21.187828063964844,21.231822967529297,7.717216968536377,0.8718569874763489,0.37979856133461,0.550000011920929,,36.2547607421875
2010-02-02,5.874044895172119,7.909999847412109,5.906000137329102,22.844928741455078,8.644925117492676,12830.400390625,13.191617965698242,11.948172569274902,21.379283905029297,21.269184112548828,7.772082328796387,0.8835710287094116,0.38369521498680115,0.6499999761581421,,36.68208694458008
